source,target,relationship_type
SloanFoundation,HYP-HUB2,hypothetical connection
GatesFoundation,HYP-HUB2,hypothetical connection
HewlettFoundation,HYP-HUB2,hypothetical connection
OpenDataPolicyLab,HYP-HUB2,hypothetical connection
ResourcesLegacyFund,HYP-HUB2,hypothetical connection
Googleorg,HYP-HUB2,hypothetical connection
NavigationFund,HYP-HUB2,hypothetical connection
PiscesFoundation,HYP-HUB2,hypothetical connection
QCF,HYP-HUB2,hypothetical connection
RennaissanceFoundati,HYP-HUB2,hypothetical connection
Aqualateral,HYP-HUB2,hypothetical connection
FunderCollaborativet,HYP-HUB2,hypothetical connection
GenerationFoundation,HYP-HUB2,hypothetical connection
JMKaplanFund,HYP-HUB2,hypothetical connection
LeverforChange,HYP-HUB2,hypothetical connection
WaverlyStreetFoundat,HYP-HUB2,hypothetical connection
MooreFoundation,HYP-HUB2,hypothetical connection
BallmerFoundation,HYP-HUB2,hypothetical connection
GlobalDevelopmentInc,HYP-HUB2,hypothetical connection
RohanPatel,HYP-HUB2,hypothetical connection
Mosaic,HYP-HUB2,hypothetical connection
MNetworkthroughPew,HYP-HUB2,hypothetical connection
PublicBenefitInnovat,HYP-HUB2,hypothetical connection
HYP-HUB2,PEDP,hypothetical connection
HYP-HUB2,DataFoundation,hypothetical connection
PEDP,HYP-HUB1,hypothetical connection
DataFoundation,HYP-HUB1,hypothetical connection
HYP-HUB1,ArizonaStateUniversi,hypothetical connection
HYP-HUB1,AspenGlobalClimateIn,hypothetical connection
HYP-HUB1,CaliforniaStateWater,hypothetical connection
HYP-HUB1,ConnectedbyData,hypothetical connection
HYP-HUB1,DataSociety,hypothetical connection
HYP-HUB1,DataIndex,hypothetical connection
HYP-HUB1,EPAOEJECRformer,hypothetical connection
HYP-HUB1,ESIP,hypothetical connection
HYP-HUB1,EarthGenome,hypothetical connection
HYP-HUB1,EndofTermArchive,hypothetical connection
HYP-HUB1,EnvironmentalIntegri,hypothetical connection
HYP-HUB1,FederationofAmerican,hypothetical connection
HYP-HUB1,Formerusgs,hypothetical connection
HYP-HUB1,HarvardBUClimateCafe,hypothetical connection
HYP-HUB1,HeisingSimons,hypothetical connection
HYP-HUB1,InternetArchive,hypothetical connection
HYP-HUB1,KaporCenter,hypothetical connection
HYP-HUB1,LawrenceBerkeleyLab,hypothetical connection
HYP-HUB1,PewCharitableTrust,hypothetical connection
HYP-HUB1,RMI,hypothetical connection
HYP-HUB1,SchmidtCenterforData,hypothetical connection
HYP-HUB1,SkyTruth,hypothetical connection
HYP-HUB1,WoodsHoleOceanograpi,hypothetical connection
