id,x,y,fixed
SloanFoundation,450,250,False
GatesFoundation,480,250,False
HewlettFoundation,510,250,False
OpenDataPolicyLab,540,250,False
ResourcesLegacyFund,570,250,False
Googleorg,450,280,False
NavigationFund,480,280,False
PiscesFoundation,510,280,False
QCF,540,280,False
RennaissanceFoundati,570,280,False
Aqualateral,450,310,False
FunderCollaborativet,480,310,False
GenerationFoundation,510,310,False
JMKaplanFund,540,310,False
LeverforChange,570,310,False
WaverlyStreetFoundat,450,340,False
MooreFoundation,480,340,False
BallmerFoundation,510,340,False
GlobalDevelopmentInc,540,340,False
RohanPatel,570,340,False
Mosaic,450,370,False
MNetworkthroughPew,480,370,False
PublicBenefitInnovat,510,370,False
ArizonaStateUniversi,-500,-300,False
AspenGlobalClimateIn,-530,-300,False
CaliforniaStateWater,-560,-300,False
ConnectedbyData,-590,-300,False
DataSociety,-620,-300,False
DataIndex,-500,-330,False
EPAOEJECRformer,-530,-330,False
ESIP,-560,-330,False
EarthGenome,-590,-330,False
EndofTermArchive,-620,-330,False
EnvironmentalIntegri,-500,-360,False
FederationofAmerican,-530,-360,False
Formerusgs,-560,-360,False
HarvardBUClimateCafe,-590,-360,False
HeisingSimons,-620,-360,False
InternetArchive,-500,-390,False
KaporCenter,-530,-390,False
LawrenceBerkeleyLab,-560,-390,False
PewCharitableTrust,-590,-390,False
RMI,-620,-390,False
SchmidtCenterforData,-500,-420,False
SkyTruth,-530,-420,False
WoodsHoleOceanograpi,-560,-420,False
PortfoliotoProtectSc,75,50,False
McGovernFoundation,75,50,False
thHourProjectSchmidt,75,50,False
SustainableCitiesFun,75,50,False
DorisDukeCharitableF,75,50,False
HillspireSchmidtFami,75,50,False
AGCISHIPFellowCoalit,75,50,False
MacArthurFoundation,75,50,False
NathanCummings,75,50,False
PackardFoundation,75,50,False
RobertWoodJohnsonFou,75,50,False
SummitFoundation,75,50,False
WokaFoundation,75,50,False
AGU,-75,-50,False
CDAN,-75,-50,False
DataFoundation,-75,-50,False
GRQD,-75,-50,False
KCF,-75,-50,False
NASEM,-75,-50,False
Cornerstone,-75,-50,False
FracTracker,-75,-50,False
EHDAT,-75,-50,False
NYCE,-75,-50,False
DRP,-75,-50,False
ClimateUS,-75,-50,False
CODE,-75,-50,False
SHIP,-75,-50,False
ImpactProject,-75,-50,False
PEDP,-75,-50,False
OEDP,-75,-50,False
EPIC,-75,-50,False
EDGI,-75,-50,False
