id,name,organization,contact,description,status,website,category,timeline,color
AGU,American Geophysical Union,AGU,,Leading scientific society advancing Earth and space sciences through collaboration and data sharing,Established,,Data Coordination/Standards,Established/Long-running,red
CDAN,Climate-Ocean Data Action Network,CDAN,,Network focused on climate and ocean data coordination and accessibility,Emerging,,Data Coordination/Standards,Emerging/Planned,red
DataFoundation,Data Foundation - Climate Data Collaborative & GHG Coalition,Data Foundation,,Coordinates climate data initiatives and greenhouse gas monitoring coalitions,Established,,Data Coordination/Standards,Established/Long-running,red
GRQD,Group on Reference Quality Datasets,GRQD,,Develops standards and practices for reference quality environmental datasets,Emerging,,Data Coordination/Standards,Emerging/Planned,red
KCF,Keeling Curve Foundation,Keeling Curve Foundation,,Preserves and promotes atmospheric CO2 measurement legacy and climate data,Established,,Data Preservation/Archiving,Established/Long-running,blue
NASEM,NASEM - Earth Observations & Data Stewardship Workshop,National Academies of Sciences Engineering and Medicine,,Convenes stakeholders on Earth observation data stewardship and coordination,Established,,Data Coordination/Standards,Established/Long-running,red
Cornerstone,Cornerstone Data Initiative,Cornerstone,,Initiative focused on foundational environmental data infrastructure,Emerging,,Data Coordination/Standards,Emerging/Planned,red
FracTracker,FracTracker,FracTracker Alliance,,Tracks and maps oil and gas development and environmental impacts,Established,,Data Collection/Monitoring,Established/Long-running,blue
EHDAT,Environmental & Health Data & Analysis Trust,EHDAT,,Preserves and provides access to environmental health data for research,Emerging,,Data Preservation/Archiving,Emerging/Planned,blue
NYCE,New York Climate Exchange,New York Climate Exchange,,Research and education hub for climate solutions and data collaboration,Recently Launched,,Data Coordination/Standards,Recently Launched (2025),red
DRP,The Data Rescue Project,Data Rescue Project,,Grassroots effort to preserve endangered government environmental data,Established,,Data Preservation/Archiving,Established/Long-running,blue
ClimateUS,Climate.us,Climate.us,,Communication platform for climate data and information accessibility,Emerging,,Communication/Access,Emerging/Planned,purple
CODE,CODE - Center for Open Data Enterprise,Center for Open Data Enterprise,,Promotes open data initiatives and collaboration across sectors,Established,,Capacity Building/Support,Established/Long-running,orange
SHIP,SHIP: The Strengthening Human Infrastructure Project,SHIP,,Builds capacity and community for environmental data stewardship,Emerging,,Capacity Building/Support,Emerging/Planned,orange
ImpactProject,The Impact Project,The Impact Project,,Initiative focused on environmental data impact and community engagement,Emerging,,Advocacy/Community Focus,Emerging/Planned,green
PEDP,Public Environmental Data Partners,Public Environmental Data Partners,,Coordinates preservation and access to public environmental data,Established,,Data Preservation/Archiving,Established/Long-running,green
OEDP,Open Environmental Data Project,Open Environmental Data Project,,Examines how environmental data moves between community and policymakers for accessibility and participatory governance,Established,,Data Coordination/Standards,Established/Long-running,green
EPIC,Environmental Policy Innovation Center,Environmental Policy Innovation Center,,Builds policies for rapid environmental progress focusing on clean water endangered species and data-driven conservation,Established,,Capacity Building/Support,Established/Long-running,green
EDGI,Environmental Data Governance Initiative,Environmental Data & Governance Initiative,,Monitors changes to federal environmental data and supports public access to environmental information,Established,,Data Preservation/Archiving,Established/Long-running,green
SloanFoundation,Sloan Foundation,Sloan Foundation,,Program: Technology; Interest: Open source,0.5 Called or emailed,,Funder,Established/Long-running,teal
GatesFoundation,Gates Foundation,Gates Foundation,,Funder interested in environmental data initiatives,0.On our radar,,Funder,Established/Long-running,teal
HewlettFoundation,Hewlett Foundation,Hewlett Foundation,,Funder interested in environmental data initiatives,0.On our radar,,Funder,Established/Long-running,teal
OpenDataPolicyLab,Open Data Policy Lab,Open Data Policy Lab,,Interest: Open Data,0.On our radar,,Funder,Established/Long-running,teal
ResourcesLegacyFund,Resources Legacy Fund,Resources Legacy Fund,,"Interest: Matthew Armsby: ""I’m interested to learn more about PEDP. While my organization Resources Legacy Fun",0.On our radar,,Funder,Established/Long-running,teal
Googleorg,Google.org,Google.org,,Program: technology / data; Interest: EJ / wildfire / wetlands,1. In conversation,,Funder,Established/Long-running,teal
NavigationFund,Navigation Fund,Navigation Fund,,Funder interested in environmental data initiatives,1. In conversation,,Funder,Established/Long-running,teal
PiscesFoundation,Pisces Foundation,Pisces Foundation,,Funder interested in environmental data initiatives,1. In conversation,,Funder,Established/Long-running,teal
QCF,QCF,QCF,,Funder interested in environmental data initiatives,1. In conversation,,Funder,Established/Long-running,teal
